os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 7 7745HX with Radeon Graphics,NVIDIA GeForce RTX 4070 Laptop GPU,32528084,7.1.3-2-cachyos,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
92.7584,10.7807,25.2859,0,93,63,51,1646,7001,6.37899,49,11.4133,2.31355,4.76899,3551,579948220
98.5083,10.1514,25.2859,0,93,63,51,1646,7001,6.37899,49,11.4133,2.31355,4.76899,3551,683565230
94.9009,10.5373,25.2859,0,93,63,51,1646,7001,6.37899,49,11.4133,2.31355,4.76899,3551,783672576
92.4631,10.8151,25.2859,0,93,63,51,1646,7001,6.37899,49,11.4133,2.31355,4.76899,3551,883781109
89.0512,11.2295,25.2859,0,93,63,51,1646,7001,6.37899,49,11.4133,2.31355,4.76899,3551,983901516
94.7621,10.5527,28.8582,0,97,63,51,1621,7001,6.37946,49,11.4258,2.3349,4.75088,3565,1084004113
93.0453,10.7475,28.8582,0,97,63,51,1621,7001,6.37946,49,11.4258,2.3349,4.75088,3565,1184113833
88.1471,11.3447,28.8582,0,97,63,51,1621,7001,6.37946,49,11.4258,2.3349,4.75088,3565,1284253236
88.7322,11.2699,28.8582,0,97,63,51,1621,7001,6.37946,49,11.4258,2.3349,4.75088,3565,1384367706
83.7889,11.9348,28.8582,0,97,63,51,1621,7001,6.37946,49,11.4258,2.3349,4.75088,3565,1484473865
93.334,10.7142,35.3247,0,84,63,51,1837,7001,6.37946,49,11.2556,2.40085,4.68518,3564,1584574087
78.5018,12.7386,35.3247,0,84,63,51,1837,7001,6.37946,49,11.2556,2.40085,4.68518,3564,1684687370
91.878,10.884,35.3247,0,84,63,51,1837,7001,6.37946,49,11.2556,2.40085,4.68518,3564,1784788779
91.858,10.8864,35.3247,0,84,63,51,1837,7001,6.37946,49,11.2556,2.40085,4.68518,3564,1884898500
84.5883,11.822,35.3247,0,84,63,51,1837,7001,6.37946,49,11.2556,2.40085,4.68518,3564,1985027217
87.5333,11.4242,26.9476,0,76,63,52,1677,7851,6.37946,49,11.2598,2.40817,4.67838,3565,2085129814
87.2071,11.467,26.9476,0,76,63,52,1677,7851,6.37946,49,11.2598,2.40817,4.67838,3565,2185245471
90.3407,11.0692,26.9476,0,76,63,52,1677,7851,6.37946,49,11.2598,2.40817,4.67838,3565,2285349255
84.1068,11.8896,26.9476,0,76,63,52,1677,7851,6.37946,49,11.2598,2.40817,4.67838,3565,2385451852
89.0512,11.2295,26.9476,0,76,63,52,1677,7851,6.37946,49,11.2598,2.40817,4.67838,3565,2485555636
