os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 7 7745HX with Radeon Graphics,NVIDIA GeForce RTX 4070 Laptop GPU,32528084,7.1.3-2-cachyos,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
53.0983,18.833,47.4874,0,100,87,57,2077,8001,6.70807,77,14.2764,0.00236511,5.74883,3877,476821566
62.1584,16.0879,47.4874,0,100,87,57,2077,8001,6.70807,77,14.2764,0.00236511,5.74883,3877,577022709
49.9375,20.025,47.4874,0,100,87,57,2077,8001,6.70807,77,14.2764,0.00236511,5.74883,3877,677131242
67.7482,14.7605,47.4874,0,100,87,57,2077,8001,6.70807,77,14.2764,0.00236511,5.74883,3877,777245712
69.3492,14.4198,58.6164,0,100,85,57,2077,8001,6.70807,77,14.2638,0.00236511,5.74883,3813,877350683
59.7253,16.7433,58.6164,0,100,85,57,2077,8001,6.70807,77,14.2638,0.00236511,5.74883,3813,977455655
62.9058,15.8968,58.6164,0,100,85,57,2077,8001,6.70807,77,14.2638,0.00236511,5.74883,3813,1077660359
56.6216,17.6611,58.6164,0,100,85,57,2077,8001,6.70807,77,14.2638,0.00236511,5.74883,3813,1177795013
68.8954,14.5148,58.6164,0,100,85,57,2077,8001,6.70807,77,14.2638,0.00236511,5.74883,3813,1277901172
52.8319,18.928,65.9439,0,100,84,57,2057,8001,6.70807,78,14.2669,0.00236511,5.74883,3939,1378003769
61.3658,16.2957,65.9439,0,100,84,57,2057,8001,6.70807,78,14.2669,0.00236511,5.74883,3939,1478112302
52.4437,19.0681,65.9439,0,100,84,57,2057,8001,6.70807,78,14.2669,0.00236511,5.74883,3939,1578213712
53.6326,18.6454,65.9439,0,100,84,57,2057,8001,6.70807,78,14.2669,0.00236511,5.74883,3939,1678317496
55.8889,17.8926,65.9439,0,100,84,57,2057,8001,6.70807,78,14.2669,0.00236511,5.74883,3939,1779042239
53.3236,18.7534,65.9439,0,100,84,57,2057,8001,6.70807,78,14.2669,0.00236511,5.74883,3939,1879137712
47.8196,20.9119,67.1605,0,100,83,57,2040,8001,6.70807,79,14.2907,0.00236511,5.74883,4114,1979235560
63.1558,15.8339,67.1605,0,100,83,57,2040,8001,6.70807,79,14.2907,0.00236511,5.74883,4114,2079339344
56.8855,17.5792,67.1605,0,100,83,57,2040,8001,6.70807,79,14.2907,0.00236511,5.74883,4114,2179450252
65.3816,15.2948,67.1605,0,100,83,57,2040,8001,6.70807,79,14.2907,0.00236511,5.74883,4114,2279551661
62.2595,16.0618,59.4697,0,100,83,58,2055,8001,6.70807,79,14.2815,0.00236511,5.74883,4159,2379683940
56.3187,17.7561,59.4697,0,100,83,58,2055,8001,6.70807,79,14.2815,0.00236511,5.74883,4159,2479838779
63.6811,15.7033,59.4697,0,100,83,58,2055,8001,6.70807,79,14.2815,0.00236511,5.74883,4159,2579944937
61.7346,16.1984,59.4697,0,100,83,58,2055,8001,6.70807,79,14.2815,0.00236511,5.74883,4159,2680276683
56.9778,17.5507,59.4697,0,100,83,58,2055,8001,6.70807,79,14.2815,0.00236511,5.74883,4159,2780388779
56.8701,17.5839,63.0241,0,100,82,58,2071,8001,6.70807,79,14.2583,0.00260544,5.74883,4311,2880491375
57.4559,17.4047,63.0241,0,100,82,58,2071,8001,6.70807,79,14.2583,0.00260544,5.74883,4311,2981339598
57.696,17.3322,63.0241,0,100,82,58,2071,8001,6.70807,79,14.2583,0.00260544,5.74883,4311,3081448131
55.056,18.1633,63.0241,0,100,82,58,2071,8001,6.70807,79,14.2583,0.00260544,5.74883,4311,3181561414
60.6937,16.4762,63.0241,0,100,82,58,2071,8001,6.70807,79,14.2583,0.00260544,5.74883,4311,3281666385
52.1095,19.1904,63.0241,0,100,82,58,2071,8001,6.70807,79,14.2583,0.00260544,5.74883,4311,3381763045
55.1677,18.1265,53.0612,0,100,82,58,2100,8001,6.70807,79,14.2528,0.00260544,5.74883,4465,3481862080
52.812,18.9351,53.0612,0,100,82,58,2100,8001,6.70807,79,14.2528,0.00260544,5.74883,4465,3582072722
70.0995,14.2654,53.0612,0,100,82,58,2100,8001,6.70807,79,14.2528,0.00260544,5.74883,4465,3682183630
61.6127,16.2304,53.0612,0,100,82,58,2100,8001,6.70807,79,14.2528,0.00260544,5.74883,4465,3783174328
57.2645,17.4628,56.9636,0,100,83,58,2056,8001,6.70807,79,14.2568,0.00260544,5.74883,4582,3883320855
61.6669,16.2162,56.9636,0,100,83,58,2056,8001,6.70807,79,14.2568,0.00260544,5.74883,4582,3983451947
67.2613,14.8674,56.9636,0,100,83,58,2056,8001,6.70807,79,14.2568,0.00260544,5.74883,4582,4083767071
61.1875,16.3432,56.9636,0,100,83,58,2056,8001,6.70807,79,14.2568,0.00260544,5.74883,4582,4183900538
56.8624,17.5863,56.9636,0,100,83,58,2056,8001,6.70807,79,14.2568,0.00260544,5.74883,4582,4284005509
62.1446,16.0915,61.7722,0,100,89,58,2025,8001,6.70807,79,14.2569,0.00260544,5.74883,4714,4384117604
52.9714,18.8781,61.7722,0,100,89,58,2025,8001,6.70807,79,14.2569,0.00260544,5.74883,4714,4484228512
63.7775,15.6795,61.7722,0,100,89,58,2025,8001,6.70807,79,14.2569,0.00260544,5.74883,4714,4584328734
55.752,17.9366,61.7722,0,100,89,58,2025,8001,6.70807,79,14.2569,0.00260544,5.74883,4714,4684437268
64.0345,15.6166,61.7722,0,100,89,58,2025,8001,6.70807,79,14.2569,0.00260544,5.74883,4714,4784535115
58.8202,17.001,61.7722,0,100,89,58,2025,8001,6.70807,79,14.2569,0.00260544,5.74883,4714,4884656709
55.6746,17.9615,49.6124,0,100,91,58,2025,8001,6.70807,79,14.2624,0.00260544,5.74883,4636,4984766430
60.4844,16.5332,49.6124,0,100,91,58,2025,8001,6.70807,79,14.2624,0.00260544,5.74883,4636,5084882087
59.6027,16.7778,49.6124,0,100,91,58,2025,8001,6.70807,79,14.2624,0.00260544,5.74883,4636,5184998931
61.0589,16.3776,49.6124,0,100,91,58,2025,8001,6.70807,79,14.2624,0.00260544,5.74883,4636,5285106277
58.8613,16.9891,46.6583,0,100,90,58,2034,8001,6.70807,79,14.2545,0.00260544,5.74883,4386,5385217185
