os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 7 7745HX with Radeon Graphics,NVIDIA GeForce RTX 4070 Laptop GPU/PCIe/SSE2,32528084,7.1.3-2-cachyos,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
61.7618,16.1912,20.681,0,39,60,45,1395,8001,4.52124,24,9.65954,0.00263214,2.0812,3563,152435296
66.9139,14.9446,20.681,0,39,60,45,1395,8001,4.52124,24,9.65954,0.00263214,2.0812,3563,253040121
63.4891,15.7507,20.681,0,39,60,45,1395,8001,4.52124,24,9.65954,0.00263214,2.0812,3563,353153404
63.5226,15.7424,20.681,0,39,60,45,1395,8001,4.52124,24,9.65954,0.00263214,2.0812,3563,453833029
63.2079,15.8208,28.8265,0,39,60,45,1380,8001,4.52124,23,9.81013,0.00263214,2.08134,3561,555043379
64.7334,15.448,28.8265,0,39,60,45,1380,8001,4.52124,23,9.81013,0.00263214,2.08134,3561,655156661
65.2701,15.3209,28.8265,0,39,60,45,1380,8001,4.52124,23,9.81013,0.00263214,2.08134,3561,755261633
52.6173,19.0051,28.8265,0,39,60,45,1380,8001,4.52124,23,9.81013,0.00263214,2.08134,3561,855621874
63.1321,15.8398,28.8265,0,39,60,45,1380,8001,4.52124,23,9.81013,0.00263214,2.08134,3561,955703099
60.3717,16.564,38.4518,0,41,60,45,1416,8001,4.52124,23,9.90898,0.00263214,2.07929,3545,1055798572
60.3717,16.564,38.4518,0,41,60,45,1416,8001,4.52124,23,9.90898,0.00263214,2.07929,3545,1155897607
71.7477,13.9377,38.4518,0,41,60,45,1416,8001,4.52124,23,9.90898,0.00263214,2.07929,3545,1256004953
62.6019,15.974,38.4518,0,41,60,45,1416,8001,4.52124,23,9.90898,0.00263214,2.07929,3545,1356101614
63.2887,15.8006,38.4518,0,41,60,45,1416,8001,4.52124,23,9.90898,0.00263214,2.07929,3545,1456208960
67.5093,14.8128,38.4518,0,41,60,45,1416,8001,4.52124,23,9.90898,0.00263214,2.07929,3545,1556370922
63.8597,15.6593,44.0461,0,49,60,45,1837,8001,4.52124,25,9.91104,0.00263214,2.07931,3561,1656461645
